Gene,ID
3632454l22rik,100165
3830406c13rik,100166
3930402g23rik,100167
4430402i18rik,100168
4732471j01rik,100169
4833407h14rik,100170
4833418n02rik,100171
4833427f10rik,100172
4833428l15rik,100173
4833439f03rik,100174
4921507p07rik,100175
4921513i03rik,100176
4921524j17rik,100177
4930401g09rik,100178
4930404h24rik,100179
4930405h06rik,100180
4930413e15rik,100181
4930444p10rik,100182
4930445n18rik,100183
4930447f24rik,100184
4930448e22rik,100185
4930451i11rik,100186
4930452b06rik,100187
4930455h04rik,100188
4930461g14rik,100189
4930471e19rik,100190
4930474n09rik,100191
4930486l24rik,100192
4930488l21rik,100193
4930500a05rik,100194
4930502e09rik,100195
4930503f20rik,100196
4930505m18rik,100197
4930506a18rik,100198
4930509j09rik,100199
4930511a08rik,100200
4930511e03rik,100201
4930512h18rik,100202
4930513d17rik,100203
4930515b02rik,100204
4930517g24rik,100205
4930519g04rik,100206
4930524b15rik,100207
4930528p14rik,100208
4930539m17rik,100209
4930542m03rik,100210
4930543e12rik,100211
4930543i03rik,100212
4930544f09rik,100213
4930552p06rik,100214
4930566d17rik,100215
4930568e12rik,100216
4930572g02rik,100217
4930573c15rik,100218
4930578m01rik,100219
4930581f22rik,100220
4930588k23rik,100221
4930592i03rik,100222
4931406p16rik,100223
4932413f04rik,100224
4932435o22rik,100225
4932438h23rik,100226
4933400f21rik,100227
4933403j19rik,100228
4933404k08rik,100229
4933405o20rik,100230
4933407k13rik,100231
4933412e24rik,100232
4933414i15rik,100233
4933417o13rik,100234
4933424g05rik,100235
4933424m12rik,100236
4933427i22rik,100237
4933428g20rik,100238
4933429k18rik,100239
4933431g14rik,100240
4933432g23rik,100241
4933432k03rik,100242
4933433g08rik,100243
4933433h22rik,100244
4933439k11rik,100245
5031434o11rik,100246
5033406o09rik,100247
5330417c22rik,100248
5330429c05rik,100249
5730455p16rik,100250
5730522e02rik,100251
5830428m24rik,100252
5930403l14rik,100253
6030440g07rik,100254
6030466f02rik,100255
6030468b19rik,100256
6330415g19rik,100257
6330525i24rik,100258
6430548m08rik,100259
6430571l13rik,100260
6430573f11rik,100261
6530409c15rik,100262
6820431f20rik,100263
7420700n18rik,100264
7530416g11rik,100265
8430419k02rik,100266
8430430b14rik,100267
9030612e09rik,100268
9030624j02rik,100269
9130015g15rik,100270
9130204k15rik,100271
9130230l23rik,100272
9130409i23rik,100273
9130410c08rik,100274
9230104m06rik,100275
9330162b11rik,100276
9330171b17rik,100277
9330198n18rik,100278
9430015g10rik,100279
9430024e24rik,100280
9430062p05rik,100281
9530027j09rik,100282
9530034e10rik,100283
9530052e02rik,100284
9530068e07rik,100285
9530077c05rik,100286
