Gene,ID
4931406P16Rik,4335
4931440F15Rik,4336
4932438H23Rik,4337
4933400f21rik,4338
4933407k13rik,4339
4933424l21rik,4340
4933428G20Rik,4341
4933428g20rik,4342
4933431g14rik,4343
4933432k03rik,4344
4933433h22rik,4345
5330417C22Rik,4346
5430440p10rik,4347
5730455P16Rik,4348
5730507c01rik,4349
5830428m24rik,4350
5830454e08rik,4351
6030440g07rik,4352
6030498e09rik,4353
6430548M08Rik,4354
6430571L13Rik,4355
6430573F11Rik,4356
6530409c15rik,4357
7530416g11rik,4358
8430419k02rik,4359
8430430b14rik,4360
9030612E09Rik,4361
9030624J02Rik,4362
9130204k15rik,4363
9130213a22rik,4364
9130409I23Rik,4365
9230112j17rik,4366
9330171B17Rik,4367
9330198n18rik,4368
9430015G10Rik,4369
9430078k24rik,4370
9530027j09rik,4371
9530034e10rik,4372
9530068E07Rik,4373
9530077C05Rik,4374
9630015k15rik,4375
9930014a18rik,4376
A130010J15Rik,4377
A430005L14Rik,4378
A430078G23Rik,4379
A430105I19Rik,4380
A530016L24Rik,4381
A630091E08Rik,4382
A930011G23Rik,4383
A930033H14Rik,4384
AI429214,4385
AI661453,4386
AK015956,4387
AK039686,4388
AK043032,4389
AK085995,4390
AK165889,4391
AK166773,4392
AK168184,4393
AU022252,4394
AW551984,4395
Aacs,4396
Aar2,4397
Aars,4398
Aars2,4399
Aarsd1,4400
Aatf,4401
Aatk,4402
Abca1,4403
Abca7,4404
Abcb6,4405
Abcb8,4406
Abcb9,4407
Abcc6,4408
Abcd3,4409
Abcf2,4410
Abcg4,4411
Abcg5,4412
Abcg8,4413
Abhd15,4414
Abhd4,4415
Abhd6,4416
Abi3,4417
Abl1,4418
Ablim1,4419
Ablim2,4420
Abr,4421
Abracl,4422
Abraxas2,4423
Abtb1,4424
Acaa2,4425
Acaca,4426
Acad11,4427
Acad12,4428
Acads,4429
Acap1,4430
Acap2,4431
Acap3,4432
Accs,4433
Acer2,4434
Acin1,4435
Ackr2,4436
Ackr4,4437
Acot11,4438
Acot2,4439
Acot3,4440
Acot4,4441
Acp2,4442
Acp5,4443
Acp6,4444
Acsf3,4445
Acsl1,4446
Acsl6,4447
Acsm2,4448
Acss2,4449
Actc1,4450
Actn1,4451
Actr10,4452
Acvr2b,4453
Acvrl1,4454
Acy3,4455
Adam23,4456
Adamts2,4457
Adamts3,4458
Adamts6,4459
Adamtsl3,4460
Adamtsl4,4461
Adamtsl5,4462
Adcy2,4463
Adcy3,4464
Adcy4,4465
Adcy5,4466
Adcy6,4467
Add3,4468
Adgra2,4469
Adgrb1,4470
Adgrb3,4471
Adgre5,4472
Adgrf5,4473
Adgrg1,4474
Adgrg3,4475
Adgrg6,4476
Adgrl1,4477
Adgrl2,4478
Adipor1,4479
Adk,4480
Adm,4481
Adnp2,4482
Adprh,4483
Adprhl1,4484
Adra2a,4485
Adrb1,4486
Adsl,4487
Adssl1,4488
Aes,4489
Afap1,4490
Afap1l2,4491
Aff3,4492
Afg1l,4493
Afg3l2,4494
Afmid,4495
Agap1,4496
Agbl2,4497
Agbl5,4498
Agmat,4499
Ago1,4500
Ago4,4501
Agtrap,4502
Agxt,4503
Ahdc1,4504
Ahnak2,4505
Aicda,4506
Aif1l,4507
Aifm2,4508
Ajap1,4509
Ajuba,4510
Ak1,4511
Akap11,4512
Akap12,4513
Akap2,4514
Akap6,4515
Akip1,4516
Akna,4517
Aknad1,4518
Akr1b10,4519
Akr1b7,4520
Akr1d1,4521
Akr7a5,4522
Akt2,4523
Aldh16a1,4524
Aldh1l2,4525
Aldh3a1,4526
Aldh3b1,4527
Aldh3b2,4528
Aldh4a1,4529
Aldh7a1,4530
Alg14,4531
Alg2,4532
Alg8,4533
Alkbh3,4534
Alkbh5,4535
