Gene,ID
Fbxo10,3259
Fbxo32,3260
Fbxo4,3261
Fbxo42,3262
Fbxo44,3263
Fbxo47,3264
Fbxo5,3265
Fbxw10,3266
Fbxw11,3267
Fbxw7,3268
Fbxw8,3269
Fcgbp,3270
Fcgr1,3271
Fcho1,3272
Fchsd2,3273
Fem1a,3274
Fem1b,3275
Fen1,3276
Fer,3277
Fermt1,3278
Fermt3,3279
Fes,3280
Fgd2,3281
Fgd3,3282
Fgf15,3283
Fgf17,3284
Fgf4,3285
Fgf7,3286
Fgf8,3287
Fgf9,3288
Fgfr2,3289
Fgfr3,3290
Fgr,3291
Fhdc1,3292
Fhl4,3293
Fhod3,3294
Fignl1,3295
Fignl2,3296
Fjx1,3297
Fkbp10,3298
Fkbp11,3299
Fkbp6,3300
Fkbp7,3301
Fkrp,3302
Fktn,3303
Flnb,3304
Flnc,3305
Flot2,3306
Flrt1,3307
Flvcr2,3308
Fmnl3,3309
Fn3k,3310
Fndc1,3311
Fndc4,3312
Focad,3313
Folr1,3314
Fosl2,3315
Foxb1,3316
Foxc2,3317
Foxf1,3318
Foxl1,3319
Foxn1,3320
Foxn3,3321
Foxn4,3322
Foxp1,3323
Fpgs,3324
Frem1,3325
Frmd3,3326
Frmd8,3327
Frs3,3328
Fry,3329
Fsip1,3330
Fstl3,3331
Fstl4,3332
Ftcd,3333
Fth1,3334
Fubp1,3335
Fubp3,3336
Furin,3337
Fv1,3338
Fxyd2,3339
Fxyd6,3340
Fyco1,3341
Fyn,3342
Fzd2,3343
Fzd5,3344
Fzd9,3345
G0s2,3346
G3bp2,3347
G6pc,3348
Gaa,3349
Gabbr1,3350
Gabbr2,3351
Gabrd,3352
Gadd45b,3353
Gal3st3,3354
Galk1,3355
Galns,3356
Galnt12,3357
Gamt,3358
Gapdh,3359
Gapvd1,3360
Garem2,3361
Garnl3,3362
Gas2l1,3363
Gata4,3364
Gata5,3365
Gatad2a,3366
Gatb,3367
Gba2,3368
Gbx2,3369
Gcdh,3370
Gcfc2,3371
Gcgr,3372
Gcnt4,3373
Gdf10,3374
Gdf2,3375
Gdpd5,3376
Get4,3377
Gfod1,3378
Gfra1,3379
Ggact,3380
Ggcx,3381
Ggt1,3382
Ggt5,3383
Ggt7,3384
Ggta1,3385
Ghrh,3386
Gid4,3387
Gid8,3388
Gimap7,3389
Gins2,3390
Gip,3391
Gipc1,3392
Gipc2,3393
Gjc1,3394
Gldc,3395
Gli1,3396
Gli2,3397
Glipr2,3398
Glis1,3399
Glmp,3400
Glo1,3401
Glp1r,3402
Glt28d2,3403
Gltp,3404
Gltpd2,3405
Glul,3406
Gm11541,3407
Gm11627,3408
Gm13889,3409
Gm14325,3410
Gm14327,3411
Gm14548,3412
Gm20716,3413
Gm266,3414
Gm5089,3415
Gm572,3416
Gm826,3417
Gm8439,3418
Gml2,3419
Gmppb,3420
Gna15,3421
Gnai3,3422
Gnas,3423
Gnat2,3424
Gnb1,3425
Gne,3426
Gng5,3427
Gng7,3428
Gngt2,3429
Golga5,3430
Golga7b,3431
Golph3l,3432
Golt1b,3433
Got2,3434
Gp6,3435
Gpam,3436
Gpatch11,3437
Gpc1,3438
Gpd1,3439
Gper1,3440
Gpihbp1,3441
Gpn2,3442
Gpn3,3443
Gpr132,3444
Gpr146,3445
Gpr162,3446
Gpr176,3447
Gpr182,3448
Gpr3,3449
Gpr75,3450
Gprc5c,3451
Gprin1,3452
Gps2,3453
Gpsm1,3454
Gpsm2,3455
Gpsm3,3456
Gpx1,3457
Gpx4,3458
Gpx7,3459
Gpx8,3460
Gramd3,3461
Gramd4,3462
Grap2,3463
Grb7,3464
Grhl2,3465
Grhl3,3466
Grhpr,3467
Grifin,3468
Grik5,3469
Grina,3470
Grip2,3471
Grm2,3472
Grn,3473
Grp,3474
Grpel1,3475
Gsdma2,3476
Gse1,3477
Gsn,3478
Gspt1,3479
Gss,3480
Gstm2,3481
Gstm3,3482
Gstp1,3483
Gstp2,3484
Gstp3,3485
Gstt2,3486
Gstt3,3487
Gstz1,3488
Gsx1,3489
Gtf2h3,3490
Gtf2i,3491
Gtf2ird1,3492
Gtf3c2,3493
Gtse1,3494
Guca1a,3495
Guca1b,3496
Gulo,3497
Gxylt2,3498
Gys1,3499
H2-Ab1,3500
H2-K1,3501
H2-Q10,3502
H2afy2,3503
Habp2,3504
Hacd3,3505
Hace1,3506
Hadha,3507
Hadhb,3508
Hao2,3509
Hapln2,3510
Haus3,3511
Haus4,3512
Haus8,3513
Hba-a2,3514
Hba-x,3515
Hbegf,3516
Hc,3517
Hcar1,3518
Hdac1,3519
Hdac5,3520
Hdgf,3521
Hdhd3,3522
Heca,3523
Hectd4,3524
Helz2,3525
Hemgn,3526
Herc1,3527
Herpud1,3528
Hes1,3529
Hes3,3530
Hes5,3531
Hey1,3532
Hey2,3533
Heyl,3534
Hgh1,3535
Hgs,3536
Hhatl,3537
Hibadh,3538
Hic1,3539
Hif3a,3540
Higd1a,3541
Hils1,3542
Hint2,3543
Hip1r,3544
Hist1h1d,3545
Hist1h2ad,3546
Hist1h2bh,3547
Hist1h2bp,3548
Hist1h3g,3549
Hist1h3i,3550
Hist2h2ac,3551
Hist2h2bb,3552
Hist2h2be,3553
Hist2h3b,3554
Hivep1,3555
Hk1,3556
Hk2,3557
Hmg20b,3558
Hmga1,3559
Hmga2,3560
Hmgcr,3561
Hmgn2,3562
Hnf1a,3563
Hnrnpa3,3564
Hnrnpr,3565
Homer2,3566
Hopx,3567
Hormad2,3568
Hoxa10,3569
Hoxa11,3570
Hoxb9,3571
Hoxc4,3572
Hoxc5,3573
Hoxc6,3574
Hoxc8,3575
Hpcal4,3576
Hps6,3577
Hr,3578
Hrc,3579
Hrct1,3580
Hrh1,3581
Hrh3,3582
Hrk,3583
Hs1bp3,3584
Hs2st1,3585
Hs3st3a1,3586
Hs3st3b1,3587
Hs3st6,3588
Hscb,3589
Hsd11b1,3590
Hsd17b12,3591
Hsd3b1,3592
Hsd3b4,3593
Hsd3b7,3594
Hsdl1,3595
Hspa12a,3596
Hspa12b,3597
Hspa4l,3598
Hspa5,3599
Hspa9,3600
Hspb1,3601
Hspb11,3602
Hspb6,3603
Hspb7,3604
Hspb8,3605
Hspg2,3606
Htra3,3607
Hunk,3608
Hvcn1,3609
Hyou1,3610
Icam1,3611
Icam4,3612
Icam5,3613
Ice2,3614
Id1,3615
Id3,3616
Idh2,3617
Idh3b,3618
Ier3,3619
Ifi27,3620
Ifi30,3621
Ifi35,3622
Ifnar1,3623
Ifnar2,3624
Ifngr2,3625
Ifrd2,3626
